CASENO,FORM_REPT_NO,rd_inv,milepost,RTE_NBR,lat,lon,MONTH,DAYMTH,WEEKDAY,RDSURF,LIGHT,weather,rur_urb,REPORT,SEVERITY,veh_count,LSHL_TYP,MED_TYPE,RD_LIGHT,RSHL_TYP,RURURB,SURF_TYP,EW_IND,COUNTY,FUNC_CLS,CITY,ROAD_INV,SPD_LIMT,BEGMP,ENDMP,ACSEQ_NB,LSHLDWID,MEDWID,NO_LANES,RSHLDWID,lanewid,rdwy_wid,AADT,mvmt,deg_curv,dir_grad,pct_grad
2015013076,E416853,167,0.62,167,47.30251444140001,-122.25670884120001,4,9,4,1.0,1.0,01,U,1,1,2,A,,Y,A,U,A,W,27.0,53.0,1280.0,167,35.0,0.61,0.64,0,6,0,4,6,11,44,28088.0,0.31,6.56,+,3.5699999999999994
2015013077,E416891,509,3.25,509,47.2316026353,-122.44033011260001,4,9,4,1.0,2.0,01,U,1,1,2,A,S,,,U,A,W,27.0,52.0,1280.0,509,50.0,3.2,3.7599999999999993,1,4,180,4,0,12,48,32011.0,6.54,1.73,-,0.5
2015013079,E416543,005,120.98999999999998,5,47.2330809691,-122.4341960749,4,14,2,1.0,1.0,01,U,1,1,2,A,S,,A,U,A,W,27.0,51.0,,005,60.0,120.96,121.21,25,6,40,6,10,12,72,116341.0,10.62,0.0,+,2.26
2015013080,E416544,005,133.44,5,47.252939627299995,-122.3356134799,4,15,3,1.0,4.0,01,U,1,1,2,,A,,A,U,P,W,27.0,51.0,1280.0,005,60.0,133.39,133.51,25,0,16,7,10,12,84,164474.0,7.2,0.0,-,3.0
2015013081,3727931,007,40.04,7,47.2450628476,-122.3365200053,4,11,6,2.0,6.0,02,R,2,7,1,A,,N,A,R,A,W,27.0,43.0,,007,55.0,39.82999999999999,40.07999999999999,0,8,0,2,8,11,22,8778.0,0.8,0.0,-,1.09
2015013082,E415559,005,133.75,5,47.257062892600004,-122.33622402299999,4,12,7,1.0,1.0,01,U,1,1,2,,A,Y,A,U,P,W,27.0,51.0,1280.0,005,60.0,133.72,133.76,25,0,16,7,10,12,84,164474.0,2.4,0.0,-,3.0
2015013084,E416768,099,1.74,99,47.381234346199996,-122.69477743649999,4,1,3,2.0,1.0,03,U,1,1,2,A,,,A,U,A,W,27.0,53.0,785.0,099,60.0,1.68,1.82,0,6,0,4,6,11,44,21164.0,1.08,0.0,+,0.02
2015013085,E416769,099,1.1799999999999995,99,47.1689312771,-122.4740604755,4,10,5,1.0,1.0,01,U,1,1,2,A,,Y,A,U,A,W,27.0,53.0,785.0,099,60.0,1.1799999999999995,1.2,0,5,0,4,8,12,47,22492.0,0.16,3.0,-,0.07000000000000002
2015013086,E416770,099,2.03,99,47.303532566499996,-122.2603087631,4,12,7,1.0,6.0,01,U,2,5,2,A,,,A,U,A,W,27.0,53.0,785.0,099,60.0,2.0,2.05,0,6,0,4,6,11,44,21164.0,0.39,0.0,-,0.14
2015013087,E416771,099,1.6200000000000003,99,47.1030834414,-122.59342456280001,3,23,1,2.0,1.0,02,U,1,1,2,A,,,A,U,A,W,27.0,53.0,785.0,099,60.0,1.2,1.6200000000000003,0,5,0,4,8,12,47,21164.0,3.2400000000000007,0.0,+,0.02
