CASENO,DRV_SEX,DRV_AGE,drassess,spdlimit,surf_typ,contrib1,contrib2,intox,stolen,vehcond1,vehcond2,vehcond3,com_body,cdplaccd,vehno
201400146,,,,,,0,0,,,0,0,0,,,2
201400148,2.0,37.0,,45.0,2.0,16,0,4.0,,1,0,0,,,1
201400148,,,,,,0,0,,,0,0,0,,,2
201400149,1.0,24.0,,30.0,1.0,7,0,4.0,,12,0,0,,,1
201400149,1.0,42.0,,30.0,1.0,18,0,4.0,,12,0,0,,,2
201400150,2.0,29.0,,50.0,2.0,4,0,4.0,,12,0,0,,,1
201400151,1.0,39.0,,30.0,2.0,7,0,4.0,,12,0,0,,,1
201400151,2.0,50.0,,30.0,2.0,18,0,4.0,,12,0,0,,,2
201400152,2.0,19.0,,40.0,2.0,49,0,4.0,,12,0,0,,,1
201400152,2.0,53.0,,40.0,2.0,18,0,4.0,,12,0,0,,,2
201400154,,,,50.0,2.0,17,0,9.0,,12,0,0,,,1
201400154,,,,,,0,0,,,0,0,0,,,2
201400155,2.0,56.0,,35.0,2.0,1,0,1.0,,12,0,0,,,1
201400155,2.0,57.0,,35.0,2.0,18,0,4.0,,12,0,0,,,2
201400155,1.0,48.0,,,2.0,18,0,4.0,,12,0,0,,,3
201400156,2.0,28.0,,70.0,2.0,5,0,4.0,,12,0,0,,,1
201400156,1.0,33.0,,70.0,2.0,18,0,4.0,,12,0,0,,,2
201400156,,,,,,0,0,,,0,0,0,,,3
201400157,2.0,43.0,,50.0,2.0,16,0,4.0,,4,0,0,,,1
201400157,,,,,,0,0,,,0,0,0,,,2
201400157,1.0,65.0,,,2.0,18,0,4.0,,12,0,0,4.0,F,3
201400158,2.0,57.0,,70.0,2.0,23,5,4.0,,12,0,0,,,1
201400158,2.0,31.0,,70.0,2.0,18,0,4.0,,12,0,0,,,2
201400158,,,,,,0,0,,,0,0,0,,,3
201400159,1.0,33.0,,35.0,2.0,18,0,4.0,,12,0,0,,,1
201400159,1.0,65.0,,35.0,2.0,50,7,4.0,,12,0,0,,,2
201400160,2.0,20.0,,70.0,2.0,23,0,4.0,,12,0,0,,,1
201400162,1.0,19.0,,50.0,2.0,4,0,4.0,,12,0,0,,,1
201400163,2.0,32.0,,60.0,2.0,4,0,4.0,,12,0,0,,,1
201400164,1.0,39.0,,30.0,6.0,17,0,4.0,,12,0,0,,,1
201400164,,,,,,0,0,,,0,0,0,,,2
